stamp_sec,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1732437229.399620295,0.00561165064573288,-0.011122403666377068,-0.01260627806186676,-0.46937164664268494,-0.027414068579673767,0.8716269731521606
1732437229.404076815,0.006676914170384407,-0.010057139210402966,-0.010475747287273407,-0.46204742789268494,-0.027169927954673767,0.8726035356521606
1732437229.409631014,0.008807443082332611,-0.01218766812235117,-0.0072799548506736755,-0.46693024039268494,-0.024484381079673767,0.8811484575271606
1732437229.413654327,0.0034811217337846756,-0.014318197034299374,-0.0072799548506736755,-0.46644195914268494,-0.022531256079673767,0.8755332231521606
1732437229.419864893,0.0034811217337846756,-0.01218766812235117,-0.008345220237970352,-0.46546539664268494,-0.023751959204673767,0.8787070512771606
1732437229.423947811,0.00561165064573288,-0.010057139210402966,-0.0072799548506736755,-0.45862945914268494,-0.024240240454673767,0.8801718950271606
1732437229.429626703,0.004546385258436203,-0.007926610298454762,-0.0072799548506736755,-0.45814117789268494,-0.024240240454673767,0.8848105669021606
1732437229.434051514,0.0034811217337846756,-0.007926610298454762,-0.004084162414073944,-0.46741852164268494,-0.024728521704673767,0.8872519731521606
1732437229.439574718,0.004546385258436203,-0.003665551543235779,-0.0030188970267772675,-0.46766266226768494,-0.022775396704673767,0.8726035356521606
1732437229.443691969,-0.0018452014774084091,-0.0047308169305324554,-0.0030188970267772675,-0.47596344351768494,-0.023263677954673767,0.8711386919021606
1732437229.449702501,-0.003975730389356613,-0.013252932578325272,-0.0008883699774742126,-0.48670563101768494,-0.024240240454673767,0.8845664262771606
1732437229.453952789,-0.002910465933382511,-0.02070978283882141,0.003372691571712494,-0.47840484976768494,-0.021554693579673767,0.8672324419021606
1732437229.459683657,-0.0007799370214343071,-0.02497084066271782,0.004437953233718872,-0.47083649039268494,-0.021066412329673767,0.8686972856521606
1732437229.463964462,-0.0018452014774084091,-0.0281666349619627,-0.001953631639480591,-0.44178375601768494,-0.03132031857967377,0.8679648637771606
1732437229.469696522,0.0002853274345397949,-0.03562348708510399,-0.005149427801370621,-0.41907867789268494,-0.05060742795467377,0.8884726762771606
1732437229.473767996,0.009872708469629288,-0.03775401413440704,-0.001953631639480591,-0.40906891226768494,-0.05426953732967377,0.9133750200271606
1732437229.479702711,0.012003237381577492,-0.027101371437311172,-0.006214689463376999,-0.40296539664268494,-0.04279492795467377,0.9136191606521606
1732437229.483880758,0.007742179557681084,-0.007926610298454762,-0.014736805111169815,-0.40491852164268494,-0.03644727170467377,0.9094687700271606
1732437229.489856720,0.006676914170384407,0.0037912987172603607,-0.021128393709659576,-0.43177399039268494,-0.03693555295467377,0.9177695512771606
1732437229.493883133,0.008807443082332611,0.0112481489777565,-0.021128393709659576,-0.43494781851768494,-0.023019537329673767,0.8857871294021606
1732437229.499586344,0.010937971994280815,0.009117621928453445,-0.024324186146259308,-0.44959625601768494,-0.019601568579673767,0.8848105669021606
1732437229.504050255,0.021590618416666985,0.0016607698053121567,-0.01580207049846649,-0.47791656851768494,-0.015207038260996342,0.8911582231521606
1732437229.509496450,0.010937971994280815,-0.0068613458424806595,-0.014736805111169815,-0.44715484976768494,-0.004464850760996342,0.8538047075271606
1732437229.513849497,0.0013505928218364716,-0.019644519314169884,-0.018997862935066223,-0.46155914664268494,-0.023751959204673767,0.8870078325271606
1732437229.519544125,0.006676914170384407,-0.027101371437311172,-0.010475747287273407,-0.44984039664268494,-0.030099615454673767,0.8950644731521606
1732437229.523850441,0.014133766293525696,-0.02497084066271782,-0.006214689463376999,-0.44129547476768494,-0.022531256079673767,0.8967734575271606
1732437229.529552221,0.008807443082332611,-0.015383461490273476,-0.013671543449163437,-0.41590484976768494,-0.015207038260996342,0.8791953325271606
1732437229.533685684,0.0034811217337846756,-0.005796080455183983,-0.02325892075896263,-0.42420563101768494,-0.024240240454673767,0.9053183794021606
1732437229.539930582,0.010937971994280815,-0.00046975910663604736,-0.021128393709659576,-0.41370758414268494,-0.023507818579673767,0.8918906450271606
1732437229.543864489,0.015199029818177223,-0.00046975910663604736,-0.01686733588576317,-0.43812164664268494,-0.009347663260996342,0.8972617387771606
1732437229.549686670,0.007742179557681084,-0.00046975910663604736,-0.01686733588576317,-0.45081695914268494,0.004812492989003658,0.8845664262771606
