stamp_sec,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
1732437229.407073975,3.0701873302459717,3.976811647415161,29.99595069885254,-0.0,0.0,0.6518246088421729,-0.7583697510500721,0.11500000208616257,0.0,0.0,0.0,0.0,-0.3479999899864197
1732437229.457035303,3.07123064994812,3.96994686126709,29.980064392089844,-0.0,0.0,0.6578278298499186,-0.7531683386036262,0.13899999856948853,0.0,0.0,0.0,0.0,-0.3179999887943268
1732437229.507045746,3.071647882461548,3.966874122619629,29.972911834716797,-0.0,0.0,0.6605171572564198,-0.7508109515516526,0.06199999898672104,0.0,0.0,0.0,0.0,-0.14300000667572021
1732437229.557065010,3.071826457977295,3.965485095977783,29.97401237487793,-0.0,0.0,0.6601039084731117,-0.7511743006909394,0.02800000086426735,0.0,0.0,0.0,0.0,0.02199999988079071
1732437229.607023716,3.0722503662109375,3.962214708328247,29.967966079711914,-0.0,0.0,0.6623717993039635,-0.7491752795486714,0.06599999964237213,0.0,0.0,0.0,0.0,-0.12099999934434891
1732437229.657047987,3.0727834701538086,3.9578964710235596,29.966264724731445,-0.0,0.0,0.663008866110263,-0.7486115437656458,0.08699999749660492,0.0,0.0,0.0,0.0,-0.03400000184774399
1732437229.707127810,3.073333740234375,3.953376293182373,29.969467163085938,-0.0,0.0,0.6618093255173185,-0.7496722061396647,0.09099999815225601,0.0,0.0,0.0,0.0,0.06400000303983688
1732437229.757035732,3.0741329193115234,3.946981191635132,29.970016479492188,-0.0,0.0,0.6616033969363389,-0.7498539492209781,0.1289999932050705,0.0,0.0,0.0,0.0,0.010999999940395355
1732437229.807052612,3.0747311115264893,3.942216396331787,29.966815948486328,-0.0,0.0,0.6628025146981148,-0.7487942484487012,0.09600000083446503,0.0,0.0,0.0,0.0,-0.06400000303983688
1732437229.857046843,3.07564115524292,3.9347753524780273,29.970964431762695,-0.0,0.0,0.6612479097570725,-0.7501674492017782,0.15000000596046448,0.0,0.0,0.0,0.0,0.08299999684095383
1732437229.907025576,3.076507091522217,3.9279301166534424,29.971513748168945,-0.0,0.0,0.6610418451747008,-0.7503490380669698,0.1379999965429306,0.0,0.0,0.0,0.0,0.010999999940395355
1732437229.957029581,3.0776162147521973,3.9192001819610596,29.971664428710938,-0.0,0.0,0.6609853117987962,-0.7503988390091287,0.17599999904632568,0.0,0.0,0.0,0.0,0.003000000026077032
1732437230.007149696,3.078810214996338,3.90981388092041,29.971113204956055,-0.0,0.0,0.6611921055241746,-0.7502166351078259,0.1889999955892563,0.0,0.0,0.0,0.0,-0.010999999940395355
1732437230.057057858,3.0802664756774902,3.898315906524658,29.97186279296875,-0.0,0.0,0.6609108823934489,-0.750464393248549,0.23199999332427979,0.0,0.0,0.0,0.0,0.014999999664723873
1732437230.107026339,3.081820249557495,3.8861212730407715,29.97186279296875,-0.0,0.0,0.6609108823934489,-0.750464393248549,0.2460000067949295,0.0,0.0,0.0,0.0,0.0
1732437230.157027960,3.0836024284362793,3.872134208679199,29.9713134765625,-0.0,0.0,0.6611169786640069,-0.750282840349008,0.28200000524520874,0.0,0.0,0.0,0.0,-0.010999999940395355
